product_id,category_id,name,brand_id,description,initial_price,discount,stock_quantity,avg_rating,review_count,added_date,images
1,1,Philips Vacuum Cleaner,4,"Employee family stage room speak.
Should state far similar president. Should occur sport wear.",969.45,0.5,14,4.1,49,2024-02-23 06:41:50,"https://example.com/image_fed3080d-fc31-461a-a2ef-0fa5aae98192.jpg,https://example.com/image_617299ee-8538-45c6-9ec0-8ce984b64b66.jpg"
2,1,Puma Smartphone,2,Fine tough customer heart cost article before. Beautiful property station have state treatment increase.,413.22,0.44,663,4.9,1,2024-10-09 02:41:26,"https://example.com/image_b34d3db7-01d3-4885-b7a4-dece6e67080d.jpg,https://example.com/image_cc93d16f-1cd6-4bb0-a583-a6f825adb1c2.jpg,https://example.com/image_929d8cfb-815d-4a7b-b9d7-4de0db2868bc.jpg,https://example.com/image_5024efed-b3f2-4d12-ac6a-e03a81bf484b.jpg,https://example.com/image_4dc2f56a-498c-44dd-8f18-eb43f0a1673d.jpg"
3,1,Sony Car Battery,8,Huge tend along. Alone theory memory pressure end difference though.,190.46,0.44,36,3.1,29,2024-05-05 20:07:43,"https://example.com/image_edd32fd4-3e0c-4cae-bbf9-c21d1d34d884.jpg,https://example.com/image_02b84602-fb30-4a77-9f9d-c0cb8d3d7241.jpg"
4,1,Puma Soccer Ball,6,"Color station hit author art. See structure edge. Occur method environmental eight can key.
Reflect worry do. Movement husband this. Know kitchen contain anyone think tree truth we.",423.69,0.41,830,3.5,10,2024-05-23 08:01:59,"https://example.com/image_5a7ddd13-cfcf-4734-b8ad-06169a9a14c9.jpg,https://example.com/image_42e8d084-845f-44ac-a078-20b0ee97cd1f.jpg"
5,1,Canon Running Shoes,2,"Baby lead good. Send often similar public. Responsibility support fear choice soldier.
Common area ask side. Garden put his heart. Treat discussion body production national conference.",590.33,0.88,283,4.2,39,2024-06-23 06:49:38,"https://example.com/image_822c56cd-d60c-4362-b208-e2e8b158692b.jpg,https://example.com/image_8abf0850-7ca6-4af6-a8ae-65b38a72da8a.jpg,https://example.com/image_d9c851f3-9204-4905-ae8f-32249f1a1133.jpg,https://example.com/image_209ecd1a-1ffd-4186-8917-4d3d5287ce3a.jpg,https://example.com/image_64ae4ccc-85de-49fb-82bf-7752341db530.jpg"
6,1,Sony Air Fryer,2,"Offer south focus blue over. While thus foot although.
Total type perhaps treat. North service opportunity act.",93.82,0.09,625,2.4,13,2024-07-22 06:30:07,https://example.com/image_ede5d5d8-ce17-474c-af2e-1e52066fc033.jpg
7,1,Bosch Running Shoes,6,Free window produce both current miss. Special difficult admit forget carry. Behavior culture under easy heavy beautiful fact.,334.99,0.92,864,4.0,1,2024-10-06 14:39:01,https://example.com/image_3d29e572-8cb2-4321-9820-eda0909893db.jpg
8,1,Lego Laptop,6,"Six idea create. Respond main science Mr read cut feel.
Increase wife letter nation but certainly.
Author hand happen gun call treat discuss. Professional although force participant soldier we.",39.15,0.84,180,4.7,11,2024-10-02 05:05:40,"https://example.com/image_c04c6bae-c308-407a-b11a-f6051fa26671.jpg,https://example.com/image_f44fc5cc-547a-463a-bbac-0d06eefa574a.jpg,https://example.com/image_e2e45f8f-31e5-4a93-8740-cdd3633739a6.jpg"
9,1,Philips Novel,10,"Between cut however. Treatment claim may professor consumer mouth. Dark society whole law.
Guess likely tonight to act fund. Of room pull health baby.",360.81,0.5,534,4.9,6,2024-09-30 21:19:23,"https://example.com/image_310757c0-5b54-4a8b-9e60-41e79d2242a8.jpg,https://example.com/image_69785a7c-b8e5-43f7-a6d7-f853ef664abd.jpg"
10,1,Samsung Camera,6,"International guess provide including exist difference continue. Admit life nor television modern she.
Fly tell set mouth wish western effort. Foreign provide relate court.",157.47,0.21,715,1.9,4,2024-09-16 13:01:25,"https://example.com/image_31a93575-f4d2-4b34-acb7-a3f21177e8ba.jpg,https://example.com/image_9c09c5cc-a919-4975-bea8-f048034c3b4b.jpg,https://example.com/image_7a4360dc-0deb-4bec-86c1-a53be0929b28.jpg,https://example.com/image_9457be06-8e32-4c70-a4ad-02b29b7f1c73.jpg"
11,1,Nike Running Shoes,3,"Past record arm view national culture. Building success room race dog race eye owner.
Possible election ability maintain TV as nothing. Sometimes truth ahead forget. Wait town different town.",662.54,0.03,505,4.7,41,2024-08-31 12:03:37,https://example.com/image_f374e8f3-97ef-4c4a-987e-effc40e05c79.jpg
12,1,Adidas Car Battery,9,"Decision stay trade write pick you. Leave city film seek them design prove party.
Attorney wind spend follow individual never year.",946.49,0.8,156,4.8,25,2024-08-07 08:01:29,"https://example.com/image_f05c1fb5-849b-4d72-8266-74024a970add.jpg,https://example.com/image_042e80a7-03c5-4c22-9098-c27bf9cfdd1d.jpg,https://example.com/image_321e1c73-ece9-4264-a539-fe0328580b00.jpg"
13,1,Lego Running Shoes,8,"Animal pretty race ready. Later money shake court message population public hundred.
Speech politics physical send accept. Blue song effect need own total.",304.34,0.8,767,4.7,23,2024-05-25 02:33:17,https://example.com/image_57c86768-8eec-4b8a-bec4-8146f421747c.jpg
14,1,Lego Car Battery,2,"Yeah style right.
Give really run themselves soldier. Television field part phone. Play us leg student out food. Well paper born foreign speech fact would style.",244.54,0.14,101,2.6,9,2024-04-05 10:06:29,"https://example.com/image_65cb406b-5a44-4ba4-a5d8-76d726e23d39.jpg,https://example.com/image_02c6fc57-c0a0-4410-96e9-e9ba855010d2.jpg"
15,2,Lego Running Shoes,4,"Mother eight yard political fire security. Everybody compare admit.
Better stage figure range rule way number. Actually cultural agency available. Staff service from author film water.",483.81,0.79,703,2.7,28,2024-02-18 15:07:20,https://example.com/image_9ba21934-9d08-4bc8-b7f2-a17fa6c8cadf.jpg
16,2,Lego Vacuum Cleaner,10,"Identify appear nor agree eat thus.
Job hear account financial. Up president technology in police guess. Near agreement factor hard attorney effect candidate.",231.09,0.01,738,0.0,11,2024-09-09 15:51:55,"https://example.com/image_4d3ec245-0249-446c-be5e-e78ce9afba1c.jpg,https://example.com/image_da3b999a-fd69-400a-bd40-ea8530429460.jpg,https://example.com/image_c9767639-7a03-429e-af75-3fa9f685b5a3.jpg"
17,2,Sony Blender,2,"Because business somebody argue where. Beautiful or along assume.
Here protect according whether star seem send. Road reveal require court paper instead long crime.",412.26,0.04,62,3.0,31,2024-01-08 02:36:56,"https://example.com/image_43c9d815-31ec-4896-b975-c5b01dde32b6.jpg,https://example.com/image_5da8f1e2-55e9-4fca-9002-1d2577413d11.jpg,https://example.com/image_a00981f2-874d-42e3-8946-b13e16793b86.jpg,https://example.com/image_06a0aa44-c7f8-415f-9091-791f07c33c52.jpg,https://example.com/image_29391a39-8f93-458d-9609-b10267bf2b2a.jpg"
18,2,Adidas Air Fryer,8,"Class customer site modern. Top short parent soon thing around five.
Social door leg. Everyone upon tree space. High sort usually service get amount.
Present apply dream. Factor beyond various.",440.51,0.08,520,1.2,18,2024-08-15 18:32:02,"https://example.com/image_58032b48-b2c9-4253-a22b-c24f29a115fd.jpg,https://example.com/image_d8d081ee-a2a5-4df2-9fa3-0cba79053a15.jpg"
19,2,Samsung Camera,10,"Sense want and key test dinner offer friend. Piece section check summer current.
Couple its thus food. Sit fire forget red opportunity. Fact sit owner moment consumer daughter about. Onto reach send.",350.25,0.4,707,2.5,25,2024-09-01 17:17:33,"https://example.com/image_b312284a-aa1e-4788-8ca4-127a31b17ab5.jpg,https://example.com/image_3de1547c-3405-416f-b365-b8580e79c36d.jpg,https://example.com/image_39eebc3b-9e8e-4577-852f-646731806ee1.jpg"
20,2,Lego Shampoo,10,Wife special strong around far. Form police hand career. Purpose technology interview story. Close news per good leg around social.,505.97,0.94,879,4.4,12,2024-03-17 20:09:26,"https://example.com/image_b515dceb-578e-4ebe-8618-35c89c3688fb.jpg,https://example.com/image_c13948da-76c6-4205-a67e-731bf8f53315.jpg,https://example.com/image_3ec95144-18ce-49b7-86e8-35fcdc355205.jpg,https://example.com/image_19d7e04a-b0da-412d-99ab-740153d24589.jpg,https://example.com/image_756312ed-60dd-4308-83b8-5cfbfa72a15f.jpg"
21,2,Apple Novel,8,Be the catch thought nation. Shoulder him house dinner house discussion. Nation various scientist cold high action.,295.13,0.41,161,3.9,20,2024-06-09 14:24:34,"https://example.com/image_65a4703e-2734-4c5a-a0c3-08ca908c0f55.jpg,https://example.com/image_c96a3b09-6f32-4c03-ac0a-75ea57df395d.jpg,https://example.com/image_f1a37c9a-d553-4cf7-b960-98ba299d3fe5.jpg"
22,2,Samsung Shampoo,3,"That house woman movie. Particular show seat defense move economy develop.
Marriage collection already south country cause. His left benefit event total.",517.41,0.92,475,3.8,6,2024-03-27 17:53:33,"https://example.com/image_5f5bd3b9-436f-4b7b-9b00-6e91fa262749.jpg,https://example.com/image_f3d74c75-2bd3-4cec-a400-018e4c165dd3.jpg,https://example.com/image_cf7939e0-1475-45fd-aa0f-931671536556.jpg,https://example.com/image_f27f3cf1-f534-40d6-9d5c-5316462fb45f.jpg,https://example.com/image_0981c280-24c4-44bc-8f43-5e04ba1b3d51.jpg"
23,2,Apple Smartphone,6,"Laugh feeling when worker middle board become. Difference age its human school structure.
Thing trouble behavior. Daughter general manage.",535.75,0.9,638,1.5,21,2024-02-20 09:28:44,"https://example.com/image_436163c9-dbe7-4301-84cf-83416c94fa87.jpg,https://example.com/image_93031ebf-69cf-4c4d-94ab-5db1ae63012c.jpg,https://example.com/image_71535e85-6f1f-4d1e-8a88-f503e030452d.jpg"
24,2,Apple Laptop,10,"Edge glass visit if majority term huge.
Adult strategy ability back. Option will floor head catch respond attorney.",449.29,0.8,9,3.0,3,2024-04-10 14:43:27,"https://example.com/image_c5925df3-55ec-44f4-ab04-a5aeecc5e826.jpg,https://example.com/image_1b038bb2-c60e-4da1-ba6a-999a14bcfe90.jpg,https://example.com/image_2b8f5007-c9a6-4ea7-ae21-30f23ca98831.jpg,https://example.com/image_bbeb0512-1f77-4751-9cc7-bb59563462b1.jpg,https://example.com/image_a4839197-2312-419d-8145-9711bdeb5505.jpg"
25,2,Nike Soccer Ball,2,Especially small full glass. There subject hold sea race region already. Although lead blue yourself explain list. Course per data little medical.,616.73,0.49,196,0.8,50,2024-03-14 05:31:11,https://example.com/image_0b1c30f6-7b04-4b38-b63c-40e14eee03da.jpg
